Churn,MonthlyMinutes,TotalRecurringCharge,DirectorAssistedCalls,PercChangeMinutes,UnansweredCalls,CustomerCareCalls,ThreewayCalls,ReceivedCalls,OutboundCalls,InboundCalls,PeakCallsInOut,OffPeakCallsInOut,CallWaitingCalls,UniqueSubs,ActiveSubs,Handsets,HandsetModels,CurrentEquipmentDays,AgeHH1,AgeHH2,HandsetRefurbished,HandsetWebCapable,BuysViaMailOrder,RespondsToMailOffers,RetentionCalls,RetentionOffersAccepted,AdjustmentsToCreditRating,HandsetPrice,MadeCallToRetentionTeam,CreditRating
0,486,38,0,-88,20.3,0,0,214.8,5.3,5,147.3,61.3,0.7,1,1,1,1,436,28,24,0,1,0,0,0,0,0,15,0,4
0,183,22,0.99,-28,11.7,0.3,0,15.8,21.7,4.3,56,30,0,3,3,1,1,304,36,0,0,0,0,0,0,0,0,15,0,3
1,420,50,0,-379,6.7,0,0,34.4,7.3,1.7,35,21.7,0,1,1,1,1,556,32,0,0,1,0,0,0,0,0,15,0,2
1,872,60,0.5,186,32.7,0,0,175.5,37.3,1,230.3,74.3,0.7,1,1,4,4,286,42,0,1,1,0,0,0,0,0,3,0,5
0,238,45,0.5,-90,55.3,3,0.3,25.4,22.7,2.3,49.3,44,0,1,1,2,2,199,36,0,0,1,0,0,0,0,0,8,0,5
0,1367,49,0,-345,218.3,57,1,228,38,17.3,115.7,189.3,0,1,1,1,1,251,0,0,0,1,0,0,0,0,0,15,0,7
0,1,17,0,-1,0.3,0,0,0,0,0,0,0.7,0,1,1,1,1,733,54,0,0,0,0,0,0,0,0,15,0,1
0,874,45,2.23,34,29.3,2.7,0,255.3,28,7,112,85,5.3,1,1,4,3,299,38,32,0,0,0,0,0,0,0,8,0,3
0,699,60,9.65,-168,30.3,0,0,111.7,28,10.3,193,50.3,3,1,1,1,1,363,44,48,0,1,1,1,0,0,0,15,0,2
0,379,10,0.25,68,17,0,0,15.7,11.3,4,44.7,45,0,3,3,1,1,225,48,50,0,1,1,1,0,0,0,15,0,2
0,878,52,0.99,-878,169.7,5,0.3,126.5,54.3,8.3,195.3,163,7,1,1,2,2,195,0,0,0,1,0,0,0,0,0,3,0,7
0,1126,85,3.46,-61,155,5.3,1.3,161.1,68.3,17,270.7,214.3,0,1,1,5,4,4,30,36,1,1,0,0,0,0,1,14,0,3
0,799,53,0.25,394,53.7,0,0.3,123.5,2.7,1.7,98,114.3,1,2,1,2,2,9,0,0,1,1,0,0,0,0,0,2,0,1
0,636,50,0,119,46.3,2,0,86.7,6.3,0,73.3,124,0.3,1,1,1,1,268,38,38,0,1,0,0,0,0,0,15,0,2
0,1526,50,0,135,47,2.7,0,435.4,158.3,12.3,173.7,263.3,11,1,1,4,4,465,32,0,1,1,0,1,0,0,0,8,0,4
0,134,39,2.48,-58,35,0,0,21.2,8,4,30.7,27.3,0.3,1,1,2,2,33,52,50,0,1,1,1,0,0,0,13,0,2
0,1573,103,1.98,-20,18.3,0,0,356.1,28.3,27.3,198,52.7,7.7,1,1,4,3,61,42,0,0,1,0,0,0,0,0,0,0,1
0,721,75,1.24,-23,45,0.3,0,92.4,63.3,1.7,332.3,50.3,1,1,1,1,1,402,58,50,0,1,1,1,0,0,0,15,0,5
0,0,25,0,0,0,0.3,0,0,0,0,0,0.3,0,1,1,1,1,291,52,0,0,1,0,0,0,0,0,15,0,4
1,1720,54,2.48,-552,147.3,31.7,2,596.4,211.3,113.3,191.3,325.3,5,1,1,2,2,335,30,18,1,1,0,0,0,0,0,3,0,5
0,656,50,2.23,-2,31.7,0,0,134.9,62.7,21.7,112.7,159.7,0,1,1,1,1,858,20,46,0,1,0,0,0,0,0,15,0,3
1,534,45,0,-108,8.7,2,0,234.8,8,0.3,120.3,39,0.3,1,1,1,1,1209,46,0,0,0,1,1,1,0,0,15,1,1
0,401,10,0,-64,24.3,0,0,81,39.3,6.3,131.7,21.3,2.3,2,2,1,1,442,36,0,0,1,0,0,0,0,0,15,0,6
1,15,42,0,-15,0.7,0,0.7,5.6,2.3,1.3,7.3,0.7,0,2,2,1,1,910,28,32,1,0,0,0,0,0,0,15,0,1
1,950,70,0,-96,38.3,1.7,3,169,52,8.3,120.3,93,1.3,2,1,2,2,206,32,34,0,1,0,0,0,0,0,5,0,2
0,902,62,1.24,-159,33,1.3,0,236.2,66.7,26.3,188.7,84.7,4.3,1,1,2,1,161,56,38,0,1,1,1,0,0,0,3,0,2
1,738,45,0.25,-106,34.3,0,0.3,67.7,19,16,43.7,132.7,0,2,2,1,1,216,22,0,0,1,0,0,0,0,0,15,0,2
1,675,60,0,-74,10.3,0.7,0,150.2,65.7,22,157.3,169.3,0.7,2,1,2,2,499,24,0,0,1,0,0,0,0,0,0,0,4
1,596,60,0,20,43.7,0.3,0,125.4,80,11,80.3,106.3,2,1,1,1,1,682,0,0,0,0,0,0,0,0,0,15,0,3
1,305,30,1.49,-270,63.3,8,0,79.4,5.7,0.7,75,58.7,0,1,1,1,1,355,0,0,0,0,0,0,0,0,0,15,0,5
1,12,17,0,10,0.7,0,0,0,0,0,5,0,0,1,1,2,2,9,52,44,0,1,1,1,0,0,0,8,0,1
1,223,60,2.97,-122,11.3,0,0,15.6,19.3,1,54.7,5,0.3,1,1,1,1,395,30,30,0,1,0,0,0,0,0,15,0,2
0,465,45,0,11,145,12.7,0.3,178,17.3,30.7,198,140,1.3,1,1,2,2,53,0,0,0,1,0,0,0,0,0,8,0,5
0,162,40,0,39,11.3,0.7,0,19.6,14.7,1.7,18,37.3,0.3,1,1,1,1,295,0,0,0,1,0,0,0,0,0,15,0,2
0,891,77,0,50,100.7,3.7,0,205.5,30.7,18.7,177.7,164.7,2.7,1,1,3,3,145,38,0,1,1,0,0,0,0,0,0,0,7
0,201,30,0,-3,13,0,0,45.7,25,11.7,25.3,47.3,1,2,1,1,1,262,0,0,0,1,0,0,1,0,0,15,1,3
0,466,50,0.74,-170,0,0,0,0,0,0,0,0,0,1,1,2,2,105,36,0,0,1,0,0,0,0,0,8,0,7
0,282,70,0,52,25.7,1.7,0,31.8,29.3,0,63,50.3,0,2,2,3,3,397,52,46,1,1,1,1,0,0,0,10,0,3
0,235,50,1.24,-4,10,7,0.3,0.4,7.3,0,86.3,8.3,0,1,1,1,1,1196,50,0,0,1,1,1,0,0,2,15,0,3
1,360,30,0.74,36,30.7,0,0,71.7,32.3,13,76.7,49.7,0.7,2,2,2,2,577,30,22,0,1,0,0,0,0,0,8,0,2
0,672,105,2.48,20,17.3,0,0,41,17,0.3,128.7,46.3,1.7,2,2,2,2,215,58,30,0,1,1,1,0,0,0,8,0,1
0,132,30,0,-110,12,0,0.7,53.8,9.3,1.7,35.7,18.7,0,2,2,1,1,644,52,48,0,1,1,1,0,0,0,15,0,2
0,343,30,0,-66,36.7,0.3,1,95.4,52.3,32.3,72,137.3,0.3,1,1,1,1,459,58,24,0,1,1,1,0,0,0,15,0,2
0,867,80,0.5,-101,44.3,0,0,441.4,26.7,7,120,181.3,9.7,2,2,1,1,795,36,0,0,0,0,0,0,0,0,15,0,5
1,114,18,0,-23,0.3,0,0,52.3,16.3,0.7,47,29,0,1,1,1,1,872,58,58,0,1,1,1,0,0,0,15,0,1
1,1340,60,10.64,-502,75.3,10.3,1.3,299.4,64.3,1.7,382.7,131.7,3.7,1,1,1,1,360,32,0,0,1,1,1,0,0,0,15,0,2
0,14,32,0,-7,0.7,0,0,0,4.7,0,0.3,5.3,0,2,2,2,2,602,0,0,0,1,0,0,0,0,0,8,0,3
0,58,30,0,26,5.7,0,0,8.6,0,0,17.3,6.7,0,1,1,1,1,841,40,40,0,1,1,1,0,0,0,15,0,1
1,72,30,0,-24,2,0,0,14.5,2,0.7,10.3,4,0,1,1,1,1,820,32,0,0,1,0,0,0,0,0,15,0,1
1,64,45,0,-36,8.7,0,0,0.1,1.7,0,8.7,9.7,0,1,1,1,1,692,34,28,0,0,1,1,0,0,0,15,0,2
0,264,30,0,-4,8.7,0.7,0,4.3,4.7,0.3,35.7,19,0.3,1,1,1,1,567,28,28,0,1,0,0,0,0,0,15,0,2
0,444,10,0.99,-31,14.3,0,0.3,112.9,15.3,9.3,95.7,31.7,1,3,2,1,1,345,28,26,0,1,0,0,0,0,0,15,0,2
0,448,36,1.49,-448,17.3,3.7,0,20.9,36,5.7,81.3,39.7,0.3,1,1,6,3,112,28,0,1,1,1,1,0,0,0,1,0,5
1,165,80,0.25,-153,10.3,0.7,0,29,17.7,4,39.7,17,0,2,2,1,1,335,36,34,0,1,1,1,0,0,0,15,0,2
1,3,5,0,3,0.7,0,0,0,0,0,1.3,0.3,0,1,1,1,1,1072,36,32,0,0,1,1,1,1,1,15,1,1
0,1854,75,0,452,215.3,18.7,0,519,32.3,20.3,362.3,513,25,1,1,5,4,17,0,0,0,1,0,0,0,0,0,2,0,3
0,152,30,0,-47,0,0,0,0,0,0,0,0,0,2,2,1,1,390,42,62,0,1,1,1,0,0,0,15,0,2
0,69,16,0,-69,1.7,0,0,0.2,0,0,1,1,0,1,1,2,2,193,44,18,0,1,0,0,0,0,0,0,0,5
0,604,40,0.74,114,7.3,0,0,325.7,21,7,66.3,52,2,1,1,1,1,442,30,30,0,1,0,0,0,0,0,15,0,5
0,107,30,0,-4,17.3,0,0,5.3,0.7,0,27,20.3,0,1,1,1,1,1066,28,0,0,0,0,0,0,0,0,15,0,4
0,144,17,0,-144,9,1.7,1.3,2.6,9.7,1.7,33,14.3,0.7,1,1,1,1,244,0,0,0,1,0,0,0,0,0,15,0,5
0,1093,95,14.85,-228,18.3,5,1.7,214.1,85.3,17.7,243,80.3,5.7,1,1,1,1,492,0,0,1,0,0,0,0,0,0,15,0,5
0,831,60,2.48,213,36.3,0.3,0,306.9,13,9.7,242.3,52.3,1,1,1,1,1,469,36,54,0,1,1,1,0,0,0,15,0,3
0,146,45,1.24,9,16.7,0.3,0.3,20.8,8.7,4,44,8.3,0,2,2,1,1,256,0,0,0,1,0,0,0,0,0,15,0,4
0,694,75,0.25,-146,42.7,0.3,0,60.8,97.3,7.3,111,57.3,0,2,2,1,1,624,0,0,0,0,0,0,0,0,0,15,0,2
0,6,40,0,-2,0.7,0,0,0,0,0,2.3,1,0,1,1,1,1,418,52,46,0,1,1,1,0,0,0,15,0,2
0,845,63,0.74,-121,42,7.7,0,215.2,3.3,3.7,124,155.7,1,1,1,1,1,337,0,0,0,1,0,0,0,0,0,15,0,5
0,406,60,0,86,23.7,0.7,2.7,133.6,26.7,2,70,42,2.7,1,1,2,2,185,54,46,0,1,0,0,0,0,0,8,0,5
0,884,45,0,51,19,0,1,109.4,21,3.3,91.3,101.3,1.3,2,1,3,3,190,36,36,0,1,1,1,0,0,0,13,0,2
0,1889,140,0.99,377,39,0,0.3,782,2,2.3,240.7,42.7,7,1,1,1,1,286,36,0,0,1,0,0,0,0,0,15,0,2
1,18,30,0,-8,0.3,0,0,1.4,0.7,0,6.7,1.3,0,2,1,1,1,329,38,36,0,0,0,0,0,0,0,15,0,1
0,260,30,0,34,48.3,6,0,31.7,8.7,5,69.7,41.3,0,1,1,1,1,400,42,42,0,1,1,1,0,0,0,15,0,2
1,754,60,0,163,45,1,0,244.7,3,3.3,100.7,61.3,1.3,1,1,1,1,418,84,84,0,1,0,0,0,0,0,15,0,5
1,503,50,0,138,18.7,0.3,0,75.3,62,7,130,38,1,1,1,1,1,902,34,38,0,1,1,1,0,0,0,15,0,1
1,204,30,1.73,124,7.3,0.3,0,0.2,0,0,38.3,18.7,0,1,1,3,2,820,50,0,1,0,0,0,0,0,0,8,0,1
0,190,70,0,-100,13.3,0,0,34.9,0.3,0,54,5.7,0,1,1,3,2,838,48,0,1,0,0,1,0,0,0,8,0,3
1,46,35,0,-38,4.3,0,0,0,0,0,9.7,2.3,0,1,1,2,2,880,38,78,0,1,0,0,0,0,0,8,0,2
0,981,105,2.48,384,8.3,4.3,1,127.2,21,0.7,95,47,0,1,1,2,2,205,58,0,0,1,1,1,0,0,0,8,0,4
0,554,30,2.23,-295,24.3,0,0,77.7,26,0,116.7,35,0.3,1,1,1,1,515,40,36,0,0,0,0,0,0,0,15,0,5
1,183,62,0.74,-183,11.7,0,0,10.3,8.7,1,32,4.7,0,2,2,4,3,289,46,40,1,1,1,1,0,0,0,8,0,2
0,454,60,1.24,-67,20.7,0,0,101.1,14.3,2.7,163,43,1.3,1,1,1,1,209,34,34,0,1,1,1,0,0,0,15,0,2
1,292,32,0,-292,31.7,0,0,7.3,4,0,63,19,0.3,2,2,1,1,583,32,0,0,1,0,0,0,0,0,15,0,3
0,729,42,0,-257,47,3,0,125,8,1.7,41.7,55,1.7,2,1,6,4,142,38,0,0,1,1,1,0,0,0,0,0,3
0,530,50,0,-102,13,1.3,0,111.9,34.7,4,80,78,0.3,1,1,1,1,524,0,0,0,1,0,0,0,0,0,15,0,7
0,1272,75,6.68,518,17.7,0.3,0,127.8,35.7,3.7,204.3,23.3,2.7,1,1,1,1,577,38,0,0,1,0,0,0,0,0,15,0,3
0,320,45,0.25,-9,21,0,0.3,51.1,53,13.7,85,58,0,1,1,2,2,236,62,0,0,1,1,1,1,1,0,8,1,1
1,263,95,0,-11,6.7,0.7,0,91.6,22.7,9.7,40,49.7,0,5,4,3,3,403,0,0,0,0,0,0,0,0,0,0,0,1
1,164,58,0.5,-132,5.3,0,0.3,9.5,9.7,5,42,16.3,0.3,2,2,2,2,687,50,54,0,0,1,1,0,0,0,8,0,1
0,456,55,0,-7,0,0,0,0,0,0,0,0,0,1,1,1,1,341,38,0,0,1,0,0,0,0,0,15,0,2
0,122,25,0,32,2.7,0,0,71.3,8.3,9.7,29.7,16.7,0,1,1,3,2,82,28,0,1,1,0,0,0,0,0,8,0,2
0,378,45,0.74,110,7.3,0,0,147.3,25,10.7,41,40.7,0,1,1,1,1,471,54,52,0,1,1,1,0,0,0,15,0,3
0,1064,60,0.5,-494,6.7,0,1.3,304.7,40,15.7,147.7,230.3,0,6,5,5,3,18,0,0,1,1,1,1,2,1,0,14,1,1
1,372,35,0,-227,42.7,0,0,53.6,1,0,61,101,0.3,1,1,2,2,657,0,0,1,1,0,0,0,0,0,8,0,1
0,158,30,0,-104,7,0,0,6,4,0,15.3,12.7,0,2,2,1,1,634,36,36,0,1,1,1,0,0,0,15,0,2
1,831,50,1.24,-196,13,0,0,253.9,61.3,11.7,157.7,124,0,1,1,1,1,746,0,0,0,1,0,0,0,0,0,15,0,4
1,130,40,0.74,49,20,0.3,0.3,4.9,2.3,0,23,28.7,0,1,1,1,1,329,36,0,0,1,0,0,0,0,0,15,0,3
0,282,45,0,290,27.7,0,0,139.7,15.3,3,42.3,41.7,0,1,1,1,1,370,46,46,0,1,1,1,0,0,0,15,0,2
0,7,17,0,-7,0,0,0,0,0,0,0.3,0.3,0,1,1,2,2,274,40,78,0,1,0,0,0,0,0,8,0,4
0,387,19,0,-387,35.7,10,0.7,71.9,8.3,1,55.3,50,1.3,1,1,2,2,149,0,0,0,1,0,0,0,0,0,3,0,7
0,207,54,0.74,-41,15.7,1.7,0,69.6,12.7,10.3,38.7,53,0.7,1,1,1,1,263,0,0,0,1,0,0,0,0,0,15,0,7
0,596,50,0,-84,0,0,0,0,0,0,0,0,0,1,1,3,3,110,62,58,0,1,0,0,0,0,0,1,0,3
1,1034,45,1.73,204,35,2.7,0,174.4,23,2.3,132.3,127,4,1,1,2,2,395,20,0,0,1,1,1,0,0,0,8,0,3
0,1146,60,0.5,509,31,0,0,229.2,61.3,12.3,36,137.3,2,2,2,1,1,762,42,0,0,1,0,0,0,0,0,15,0,1
0,415,30,0,-208,14.3,0,0,134.8,15,4,91.7,11.3,1.7,3,3,2,1,494,54,52,0,1,1,1,0,0,0,3,0,2
0,1178,53,0.74,-118,66,2.3,0.7,172.1,17.7,1,108.7,104.3,1.3,1,1,1,1,824,0,0,0,1,0,0,0,0,0,15,0,3
0,203,30,0,83,16.3,0.7,0,48.4,13,4.3,91.7,20.7,0,3,2,2,2,176,56,54,0,1,1,1,0,0,0,13,0,5
1,378,10,0,-8,39.3,0,0.7,68,44,8,32.7,105.3,1.3,3,3,5,4,299,30,30,1,0,1,1,0,0,0,0,0,1
1,487,36,2.23,-81,47,5,0.3,149.7,30.3,0.3,139,90.7,3.3,2,1,2,1,427,0,0,0,1,0,0,0,0,0,8,0,5
0,430,10,0.25,41,10.7,0.7,0,133.3,11.3,8.7,122.3,33.7,2.7,2,2,2,2,571,0,0,1,1,0,0,0,0,0,8,0,1
1,63,40,0,-56,2.7,0,0,9,4.7,0,28.7,10,0,1,1,1,1,357,46,0,0,1,0,0,0,0,0,15,0,3
1,555,55,0.25,52,44.7,0.3,0.3,93,5.3,0.7,130,66.3,0,1,1,1,1,313,28,24,0,1,0,0,0,0,0,15,0,2
0,276,50,0,12,0,0,0,0,0,0,0,0,0,2,2,1,1,427,36,0,0,1,0,0,0,0,0,15,0,6
1,2026,60,0.25,348,99,11.7,0.3,263.8,31.7,1,121,125,6.7,1,1,3,3,3,26,22,1,1,0,0,1,0,0,8,1,5
0,331,40,0.5,-81,13.7,1.3,0,69.5,28,16.3,77.7,48.3,0.3,1,1,1,1,267,36,0,0,1,0,0,0,0,0,15,0,2
0,306,61,0.74,187,11.7,0.7,0,29,0.7,0,59.3,9.3,0.7,1,1,1,1,359,24,24,0,1,0,0,0,0,0,15,0,5
0,572,50,5.2,5,21.7,0,0,113.4,24.3,5,154.7,60.3,2.3,2,1,1,1,647,0,0,0,1,0,0,0,0,0,15,0,2
0,214,60,0,-48,9.3,0,0,41.2,9,0.7,33.3,25.7,0,1,1,5,3,97,52,50,1,1,1,1,0,0,0,8,0,2
0,524,50,0,115,17.3,0,0,193.3,28.3,1,154.7,86.7,1,2,1,6,4,135,46,64,1,1,0,0,0,0,1,13,0,1
0,484,10,0,25,42.7,0,0.7,13.4,25.7,12.3,91.7,59.3,1,3,3,1,1,524,32,32,0,1,1,1,0,0,0,15,0,2
0,516,45,0,31,50.3,0,1.3,147.1,20.3,14.7,145,134.3,2.3,1,1,1,1,396,0,0,0,1,0,0,0,0,0,15,0,5
0,316,45,0,-16,9.7,0,0,65.1,36,11.3,51.7,57.3,0,3,1,1,1,291,48,48,0,1,0,0,0,0,0,15,0,3
0,163,39,0.5,-163,0.3,0,0,5.3,1,2,10.3,2,0,1,1,6,6,217,0,0,0,1,0,0,0,0,0,2,0,7
0,616,60,1.24,41,98.3,4.3,0.3,134.5,81,24.7,270.3,86,6,2,2,3,2,187,0,0,0,1,0,0,0,0,0,8,0,4
0,1390,73,4.95,113,116,1.7,0.3,360.8,142,41,276.7,324.3,1,2,2,1,1,268,48,0,0,1,0,0,0,0,0,15,0,3
0,490,50,0,-270,11,0,0,238.5,25.7,20.7,52.7,78,2.3,1,1,1,1,280,28,0,0,1,0,0,0,0,0,15,0,5
0,81,40,0,-38,7.3,0,0,16.5,11,3.7,32,20.7,0,1,1,1,1,297,50,50,0,1,1,1,0,0,0,15,0,4
0,1074,105,0.25,988,89.7,1,1.3,304.8,121,22.7,208.7,258.3,11,1,1,6,5,118,36,54,0,1,0,0,0,0,0,14,0,5
1,312,50,0,-282,49.3,0,0,77.8,13.3,18.7,63.7,60,1.7,2,2,1,1,218,50,0,1,1,0,0,0,0,0,15,0,4
0,309,40,0.25,-126,0,0,0,0,0,0,0,0,0,1,1,2,1,425,74,62,0,1,0,1,0,0,0,13,0,4
0,462,50,0.99,33,22.7,0,0,119.3,26,22.7,93,23.3,0,1,1,1,1,718,42,42,0,1,0,0,0,0,0,15,0,3
0,228,45,1.98,-46,7,0.3,0,32.4,3,0,37,35.3,0,4,2,1,1,359,54,54,0,1,0,0,0,0,0,15,0,6
1,191,30,0,-12,0,0,0,0,0,0,0,0,0,1,1,2,2,111,0,0,0,1,0,0,0,0,0,8,0,2
1,1135,95,0.74,15,46,0.3,0.3,135.2,13,2.3,308,59.3,1.7,1,1,1,1,312,38,0,0,1,0,0,0,0,0,15,0,2
1,650,48,4.46,-311,10.3,1.7,0.3,83.6,24.3,4.7,102.3,69.3,1,1,1,1,1,245,0,0,0,1,0,0,0,0,0,15,0,2
0,612,70,0,261,46,2,0,107.8,14,8.7,123,53,0.7,2,2,1,1,281,36,36,0,1,0,0,0,0,0,15,0,2
1,208,34,0,-58,3,0.7,0,18.6,10,0.7,33,48.7,0,1,1,1,1,361,48,20,0,1,0,0,0,0,0,15,0,4
